Initial_Aerobic_Biomass,Vmax_Multiplier,Min_O2,Max_Anoxic_Frac,Peak_Realized_Growth_day,Avg_Realized_Growth_day,Peak_Total_Biomass,Lowest_Monod_Factor,Lowest_O2_Monod_Factor,Lowest_DOC_Monod_Factor,Max_O2_Limitation_Frac
1.0,1.0,50.000003814697266,0.0,16.624122619628906,16.40060043334961,9.107020378112793,0.0010022073984146118,0.9960159063339233,0.0010022073984146118,0.0
1.0,72.28571428571429,49.62061309814453,0.0,1480.3890380859375,1452.6981201171875,11.225564002990723,0.0010022048372775316,0.9959855675697327,0.0010022048372775316,0.0
1.0,143.57142857142858,48.95710754394531,0.0,3655.7998046875,3603.634521484375,14.015231132507324,0.0010022022761404514,0.9959313869476318,0.0010022022761404514,0.0
1.0,214.8571428571429,48.11778259277344,0.0,6781.140625,6721.013671875,17.689199447631836,0.0010021995985880494,0.9958606958389282,0.0010021995985880494,0.0
1.0,286.14285714285717,46.76456069946289,0.0,11528.05078125,11283.302734375,22.817991256713867,0.0010021970374509692,0.9957414269447327,0.0010021970374509692,0.0
1.0,357.42857142857144,44.511390686035156,0.0,18866.55078125,18085.341796875,30.170166015625,0.0010021943598985672,0.9955268502235413,0.0010021943598985672,0.0
1.0,428.7142857142858,40.78218078613281,0.0,30239.291015625,28313.626953125,40.57102584838867,0.0010021915659308434,0.9951198101043701,0.0010021915659308434,0.0
1.0,500.0,34.73567199707031,0.0,47093.734375,43627.71484375,54.56378936767578,0.0010021887719631195,0.9942751526832581,0.0010021887719631195,0.0
3.7142857142857144,1.0,50.000003814697266,0.0,21.578777313232422,21.288639068603516,11.821307182312012,0.001002222765237093,0.9960159063339233,0.001002222765237093,0.0
3.7142857142857144,72.28571428571429,49.20214080810547,0.0,2040.783447265625,2001.62744140625,15.478199005126953,0.0010022177593782544,0.9959515929222107,0.0010022177593782544,0.0
3.7142857142857144,143.57142857142858,47.66923522949219,0.0,5411.14990234375,5305.15478515625,20.69890785217285,0.0010022125206887722,0.9958219528198242,0.0010022125206887722,0.0
3.7142857142857144,214.8571428571429,45.178550720214844,0.0,10867.0615234375,10681.7109375,27.872989654541016,0.0010022075148299336,0.9955925941467285,0.0010022075148299336,0.0
3.7142857142857144,286.14285714285717,40.899559020996094,0.0,19785.732421875,19379.322265625,38.34400177001953,0.0010022022761404514,0.9951337575912476,0.0010022022761404514,0.0
3.7142857142857144,357.42857142857144,33.635650634765625,0.0,34313.17578125,33360.69140625,53.68204116821289,0.0010021970374509692,0.9940890669822693,0.0010021970374509692,0.0
3.7142857142857144,428.7142857142858,21.778057098388672,0.0,57266.0078125,55213.08984375,76.04258728027344,0.001002191798761487,0.9908999800682068,0.001002191798761487,0.0
3.7142857142857144,500.0,3.6815953254699707,0.0,90569.078125,87091.6015625,107.65786743164062,0.001002186443656683,0.9484747648239136,0.001002186443656683,0.0
6.428571428571429,1.0,50.000003814697266,0.0,26.533435821533203,26.176673889160156,14.53559398651123,0.0010022552451118827,0.9960159063339233,0.0010022552451118827,0.0
